serial,log_datetime,machine_name,event_type,status_name,error_code,error_name,stopped_reason
7113547,2021/7/1 17:24,Site2-FICO#03,STATUS,STARTED,,,
7113560,2021/7/1 17:29,Site2-FICO#03,ERROR,ERROR,100,NO EMPTY TRAYS AVAILABLE TRAY OFFLOADER,
7113562,2021/7/1 17:29,Site2-FICO#03,STATUS,FINISHED,,,Auto
7135798,2021/7/1 17:29,Site2-FICO#05,ERROR,ERROR,100,NO EMPTY TRAYS AVAILABLE TRAY OFFLOADER,
7135800,2021/7/1 17:29,Site2-FICO#05,STATUS,FINISHED,,,Auto
7172141,2021/7/1 17:10,OB1F_FICO#08,ERROR,ERROR,48,SAFETYPIN ACTIVATED LASER1: 2S11/12,
7172143,2021/7/1 17:10,OB1F_FICO#08,STATUS,FINISHED,,,Auto
7172172,2021/7/1 17:10,OB1F_FICO#08,ALARM,Begin Repair,,,
7172183,2021/7/1 17:10,OB1F_FICO#08,STATUS,STARTED,,,
7172193,2021/7/1 17:12,OB1F_FICO#08,ERROR,ERROR,73,SAFETY-PIN ERROR PRESS1: 2S12,
7172195,2021/7/1 17:12,OB1F_FICO#08,STATUS,FINISHED,,,Auto
7172222,2021/7/1 17:12,OB1F_FICO#08,ALARM,Begin Repair,,,
7172234,2021/7/1 17:12,OB1F_FICO#08,MACHINE,State: Specific Running Continuous,,,
7172243,2021/7/1 17:13,OB1F_FICO#08,STATUS,FINISHED,,,MA
7172267,2021/7/1 17:13,OB1F_FICO#08,MACHINE,State: Specific Running Continuous,,,
7172270,2021/7/1 17:13,OB1F_FICO#08,STATUS,FINISHED,,,Auto
7172277,2021/7/1 17:13,OB1F_FICO#08,STATUS,STARTED,,,
7172292,2021/7/1 17:21,OB1F_FICO#08,STATUS,FINISHED,,,Auto
7172330,2021/7/1 17:26,OB1F_FICO#08,STATUS,STARTED,,,
7172342,2021/7/1 17:27,OB1F_FICO#08,STATUS,FINISHED,,,MA
7172368,2021/7/1 17:28,OB1F_FICO#08,STATUS,STARTED,,,
7185739,2021/7/1 17:16,OB1F_FICO#11,STATUS,FINISHED,,,Auto
7185766,2021/7/1 17:17,OB1F_FICO#11,STATUS,STARTED,,,
7188783,2021/7/1 17:31,Site2-FICO#05,ALARM,Begin Repair,,,
7205361,2021/7/1 17:27,OB1F_FICO#03,ERROR,ERROR,28,HOME SENSOR BLOCKED PRESS1: 3S07, RDC2
7205364,2021/7/1 17:27,OB1F_FICO#03,STATUS,FINISHED,,,Auto
7226343,2021/7/1 17:32,Site2-FICO#02,ALARM,Begin Repair,,,
7226359,2021/7/1 17:32,Site2-FICO#02,STATUS,STARTED,,,
7226366,2021/7/1 17:32,Site2-FICO#02,ERROR,ERROR,72,TRAY NOT CENTERED TRAY OFFLOADER,
7226368,2021/7/1 17:32,Site2-FICO#02,STATUS,FINISHED,,,Auto
7226378,2021/7/1 17:32,Site2-FICO#02,ALARM,Begin Repair,,,
7226389,2021/7/1 17:32,Site2-FICO#02,STATUS,STARTED,,,
7229092,2021/7/1 17:35,Site2-FICO#03,ALARM,Begin Repair,,,
7229102,2021/7/1 17:35,Site2-FICO#03,STATUS,STARTED,,,
7236680,2021/7/1 17:25,OB1F_FICO#11,STATUS,FINISHED,,,Auto
7248426,2021/7/1 17:25,OB1F_FICO#11,MACHINE,State: Specific Running Continuous,,,
7260859,2021/7/1 17:27,OB1F_FICO#02,STATUS,FINISHED,,,MA
7260891,2021/7/1 17:27,OB1F_FICO#02,MACHINE,State: Specific Running Continuous,,,
7271342,2021/7/1 17:37,Site2-FICO#03,STATUS,FINISHED,,,Auto
7284704,2021/7/1 17:32,Site2-FICO#06,ERROR,ERROR,100,NO EMPTY TRAYS AVAILABLE TRAY OFFLOADER,
7284706,2021/7/1 17:32,Site2-FICO#06,STATUS,FINISHED,,,Auto
7284721,2021/7/1 17:35,Site2-FICO#06,ALARM,Begin Repair,,,
7284731,2021/7/1 17:35,Site2-FICO#06,STATUS,STARTED,,,
7284738,2021/7/1 17:35,Site2-FICO#06,ERROR,ERROR,73,TRAY NOT AT UNLOAD POSITION TUBE/TRAY OFFLOADER,
7284740,2021/7/1 17:35,Site2-FICO#06,STATUS,FINISHED,,,Auto
7284746,2021/7/1 17:35,Site2-FICO#06,ALARM,Begin Repair,,,
7287790,2021/7/1 17:32,Site2-FICO#05,STATUS,STARTED,,,
7287804,2021/7/1 17:35,Site2-FICO#05,ERROR,ERROR,100,NO EMPTY TRAYS AVAILABLE TRAY OFFLOADER,
7287806,2021/7/1 17:35,Site2-FICO#05,STATUS,FINISHED,,,Auto
7296638,2021/7/1 17:27,OB1F_FICO#02,MACHINE,State: Specific Running Continuous,,,
7296648,2021/7/1 17:28,OB1F_FICO#02,STATUS,STARTED,,,
